k,mean
1.1.2.2.2.1.3.3.2.1.2.2.2.2.1.2.2.2.2.2.2.2,1.3063296102719861
1.1.2.2.2.1.3.3.2.1.2.2.2.2.2.2.2.2.2.2.2.2,2.3099638465605588
1.1.2.2.2.2.1.2.2.1.2.2.2.1.2.2.2.2.2.2.2.2,1.1286419690890224
1.1.2.2.2.2.1.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2,2.251919105364819
1.1.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2,2.5634050713279732
1.1.2.2.2.2.1.3.2.1.2.2.2.2.2.2.2.2.2.2.2.2,3.193176204638168
1.1.2.2.2.2.1.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2,3.353910587381412
1.1.2.2.2.2.2.1.2.1.2.2.2.1.2.2.2.2.2.2.2.2,1.0771685989102098
1.1.2.2.2.2.2.1.2.1.2.2.2.2.2.2.2.2.2.2.2.2,2.1390234103693744
1.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2,2.4309156275342776
1.1.2.2.2.2.2.2.1.1.2.2.2.1.2.2.2.2.2.2.2.2,1.085404206061261
1.1.2.2.2.2.2.2.1.1.2.2.2.2.2.2.2.2.2.2.2.2,2.148096175083542
1.1.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2,2.4462288755331922
1.1.2.2.2.2.2.2.2.1.1.2.2.1.2.2.2.2.2.2.2.2,1.0674508627833899
1.1.2.2.2.2.2.2.2.1.1.2.2.2.2.2.2.2.2.2.2.2,2.0892054807816773
1.1.2.2.2.2.2.2.2.1.2.1.2.1.2.2.2.2.2.2.2.2,1.064385164144295
1.1.2.2.2.2.2.2.2.1.2.1.2.2.2.2.2.2.2.2.2.2,2.0628267715283717
1.1.2.2.2.2.2.2.2.1.2.2.1.1.2.2.2.2.2.2.2.2,1.0861679315615163
1.1.2.2.2.2.2.2.2.1.2.2.1.2.2.2.2.2.2.2.2.1,1.3853512031372996
1.1.2.2.2.2.2.2.2.1.2.2.1.2.2.2.2.2.2.2.2.2,2.0217293102493707
1.1.2.2.2.2.2.2.2.1.2.2.2.1.1.2.2.2.2.2.2.2,1.0818123821303438
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.1.2.1.2.2.2.2,0.9944970672812984
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.1.2.2.2.2.2.2,1.0461882790465555
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.1.2.2.2.2.2,1.0737576920557321
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.1.2.2.2.2,1.1542586216073754
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.2.1.2.2.2,1.0801696492535706
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.2.2.1.2.2,1.0775599513429335
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.2.2.2.1.2,1.0764155324964442
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.2.2.2.2.1,1.0700508524014136
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.2.2.2.2.2,2.044867432609016
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.2.2.2.2.3,1.082566336371624
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.2.2.2.3.2,1.0677803643562382
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.2.2.3.2.2,1.0687017240821295
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.2.3.2.2.2,1.0775074186281286
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.3.2.2.2.2,1.0560116645054642
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.2.3.2.2.2.2.2,1.0765865024806067
1.1.2.2.2.2.2.2.2.1.2.2.2.1.2.3.2.2.2.2.2.2,1.1417106092285538
1.1.2.2.2.2.2.2.2.1.2.2.2.1.3.2.2.2.2.2.2.2,1.0643353037347991
1.1.2.2.2.2.2.2.2.1.2.2.2.2.1.2.2.2.2.2.2.2,1.7372271420892857
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2,2.0803224509561087
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.1.2.2.2.2.2,2.0902146769188166
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.1.2.2.2.2,2.1804935723177064
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.1.2.2.2,2.090729131659122
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.1.2.2,2.1142570375099297
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.1.2,2.077832371830463
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.1,1.759398753253153
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2,1.9664778359548678
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.3,2.0961459144755867
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.3.2,2.0940242161922242
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.3.2.2,2.0702423142709256
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.3.2.2.2,2.0948848862932414
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.3.2.2.2.2,2.053660774064335
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.3.2.2.2.2.2,2.111646383072477
1.1.2.2.2.2.2.2.2.1.2.2.2.2.2.3.2.2.2.2.2.2,2.12583945948379
1.1.2.2.2.2.2.2.2.1.2.2.2.2.3.2.2.2.2.2.2.2,2.3628351914977945
1.1.2.2.2.2.2.2.2.1.2.2.2.3.2.2.2.2.2.2.2.2,2.1360734766674274
1.1.2.2.2.2.2.2.2.1.2.2.3.1.2.2.2.2.2.2.2.2,1.0720505744300657
1.1.2.2.2.2.2.2.2.1.2.2.3.2.2.2.2.2.2.2.2.2,2.1198143084113017
1.1.2.2.2.2.2.2.2.1.2.3.2.1.2.2.2.2.2.2.2.2,1.09104374175486
1.1.2.2.2.2.2.2.2.1.2.3.2.2.2.2.2.2.2.2.2.2,2.1284803701766113
1.1.2.2.2.2.2.2.2.1.3.2.2.1.2.2.2.2.2.2.2.2,1.0787158781059747
1.1.2.2.2.2.2.2.2.1.3.2.2.2.2.2.2.2.2.2.2.2,2.0918231519777883
1.1.2.2.2.2.2.2.2.2.1.2.1.2.2.2.2.2.2.2.2.2,2.9472411674394725
1.1.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2,2.4513872746509238
1.1.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2,2.364282439028633
1.1.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2,2.4471200700723177
1.1.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2,2.2612229621838598
1.1.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2,2.060393199331053
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2,2.303944240944357
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2,2.387364195601294
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2,2.484334207271182
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2,2.381640858684097
1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2,2.4127821131899703
